DLiP-ID,J0001N
DLiP-Mol-ID,26744
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27F3N4O/c27-26(28,29)22-9-4-10-23(16-22)31-25(34)33(19-20-6-2-1-3-7-20)24-11-14-32(15-12-24)18-21-8-5-13-30-17-21/h1-10,13,16-17,24H,11-12,14-15,18-19H2,(H,31,34)"
Standard Inchi Key(RDKit),NHVAOEQMMRCDHG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(Cc2cccnc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),468.523
MW Monoisotopic(RDKit),468.213696144
MolLogP(RDKit),5.79910000000001
XLogP(SDF),
XLogP(CDK),4.547
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),48.47
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.497561896388674
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,47896764.32783409
qed,0.49756189638867415
Chi0,23.968044558434496
Chi1,16.38116129880064
TPSA,48.470000000000006
Chi0n,18.709326951765465
Chi0v,18.709326951765465
Chi1n,11.28385649134403
Chi1v,11.28385649134403
Chi2n,8.490811385327145
Chi2v,8.490811385327145
Chi3n,6.024619880537938
Chi3v,6.024619880537938
Chi4n,4.254372115063652
Chi4v,4.254372115063652
MolMR,124.98370000000004
MolWt,468.52300000000025
fr_SH,0
Kappa1,23.75763027714952
Kappa2,10.69246309709998
Kappa3,6.349027794593401
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1068.1636549510017
MolLogP,5.799100000000006
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.4555968462280988
SMR_VSA1,17.96578232709628
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,38.14929540426861
SMR_VSA6,18.406301415831482
SMR_VSA7,95.81407937139485
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.77154522144906
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,9.883888251797686
PEOE_VSA3,4.794537184071822
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
