DLiP-ID,C002XP
DLiP-Mol-ID,33307
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8O2/c13-12-10-6-2-4-8-3-1-5-9(7-14-12)11(8)10/h1-6H,7H2"
Standard Inchi Key(RDKit),UKOVZLWSUZKTRL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1OCc2cccc3cccc1c23
SMILES(SDF),
MW(SDF),
MW(RDKit),184.194
MW Monoisotopic(RDKit),184.052429496
MolLogP(RDKit),2.5102
XLogP(SDF),
XLogP(CDK),2.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),26.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.587848781206795
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,2936.567356698225
qed,0.5878487812067954
Chi0,9.543605595440512
Chi1,6.860173345306136
TPSA,26.3
Chi0n,7.487704977252029
Chi0v,7.487704977252029
Chi1n,4.538510687364536
Chi1v,4.538510687364536
Chi2n,3.3969548029687626
Chi2v,3.3969548029687626
Chi3n,2.5696734827323597
Chi3v,2.5696734827323597
Chi4n,1.9301368821226987
Chi4v,1.9301368821226987
MolMR,53.067500000000024
MolWt,184.194
fr_SH,0
Kappa1,7.562357844482439
Kappa2,2.5778245947007923
