DLiP-ID,C001RM
DLiP-Mol-ID,32819
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H15N3S/c1-9(2)15-16-13-14-12(10(3)17-13)11-7-5-4-6-8-11/h4-8H,1-3H3,(H,14,16)"
Standard Inchi Key(RDKit),PHNPJMNJTLYYAU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)=NNc1nc(-c2ccccc2)c(C)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),245.351
MW Monoisotopic(RDKit),245.09866848
MolLogP(RDKit),3.92622
XLogP(SDF),
XLogP(CDK),3.495
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.656905021410814
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,9752.279985786554
qed,0.6569050214108136
Chi0,12.25071237662706
Chi1,8.164703797946448
TPSA,37.28
Chi0n,10.189426827411909
Chi0v,11.005923408339635
Chi1n,5.463359083986739
Chi1v,6.279855664914465
Chi2n,3.9606568485316913
Chi2v,5.163851760526403
Chi3n,2.2189724422695445
Chi3v,3.0944311770194832
Chi4n,1.4677212426288404
Chi4v,2.246131982646168
MolMR,74.69270000000003
MolWt,245.35100000000003
fr_SH,0
Kappa1,11.79517781622453
Kappa2,5.099916753381893
Kappa3,2.9120782697984304
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,524.8525327416112
MolLogP,3.9262200000000025
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.2849048144068442
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.101407525739723
SMR_VSA5,20.771211599071872
SMR_VSA6,5.425791397110385
SMR_VSA7,35.20898253600935
SMR_VSA8,0.0
